"Country","City","Building_Type","Room_Type","Building_ID","Room_ID"
"Australia","Bangholme","Educational","Classroom",1,1
"Australia","Bangholme","Educational","Classroom",1,2
"Australia","Bangholme","Educational","Classroom",1,3
"Australia","Bangholme","Educational","Classroom",1,4
"Australia","Bangholme","Educational","Classroom",1,5
"Australia","Bangholme","Educational","Classroom",1,6
"Australia","Bangholme","Educational","Classroom",1,7
"Australia","Bangholme","Educational","Classroom",1,8
"Australia","Bangholme","Educational","Classroom",1,9
"Australia","Bangholme","Educational","Classroom",1,10
"Australia","Bangholme","Educational","Classroom",1,11
"Australia","Bangholme","Educational","Classroom",1,12
"Australia","Bangholme","Educational","Classroom",1,13
"Australia","Bangholme","Educational","Classroom",1,14
"Australia","Bangholme","Educational","Classroom",1,15
"Australia","Bangholme","Educational","Classroom",1,16
