CO2 [ppm],Temperature_Indoor [C],Relative_Humidity_Indoor [%],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%],Solar_Radiation [w/m2],Southward_Vertical_Irradiance [w/m2],Class,Room_ID
538,23.80,70.70,27.44,69.70,2.740,82.000,No Turning-off Behavior,A
539,23.80,70.80,27.85,67.70,3.210,112.000,No Turning-off Behavior,A
530,23.80,69.30,28.07,66.80,4.380,134.000,No Turning-off Behavior,A
552,23.80,69.60,27.76,67.80,3.210,86.000,No Turning-off Behavior,A
540,23.90,68.90,27.77,67.70,2.510,54.000,No Turning-off Behavior,A
553,23.70,67.10,27.53,68.90,3.210,49.000,No Turning-off Behavior,A
417,23.70,64.70,24.82,64.60,353.940,170.000,No Turning-off Behavior,A
403,23.20,65.50,25.05,62.30,6.480,144.000,No Turning-off Behavior,A
410,22.90,65.60,24.92,62.20,82.010,186.000,No Turning-off Behavior,A
436,22.80,66.00,25.20,60.60,318.870,181.000,No Turning-off Behavior,A
442,22.70,66.10,25.19,61.60,15.600,161.000,No Turning-off Behavior,A
437,24.00,62.00,25.13,62.50,3.680,118.000,No Turning-off Behavior,A
439,23.60,62.60,25.45,61.60,47.170,136.000,No Turning-off Behavior,A
428,26.00,60.20,31.09,46.30,46.700,229.000,No Turning-off Behavior,A
440,25.70,60.60,31.28,46.40,332.430,286.000,No Turning-off Behavior,A
446,25.40,59.40,31.62,44.40,266.960,252.000,No Turning-off Behavior,A
478,24.80,58.30,31.57,44.70,41.790,275.000,No Turning-off Behavior,A
493,24.60,58.10,32.05,39.10,318.400,254.000,No Turning-off Behavior,A
458,24.70,58.00,32.22,39.40,388.080,263.000,No Turning-off Behavior,A
464,24.40,58.80,31.58,40.20,15.130,139.000,No Turning-off Behavior,A
445,24.70,60.00,32.46,38.40,388.310,244.000,No Turning-off Behavior,A
426,24.80,60.40,31.76,40.50,241.470,241.000,No Turning-off Behavior,A
441,25.10,60.80,32.29,40.30,393.920,185.000,No Turning-off Behavior,A
442,25.10,59.30,31.53,40.60,543.570,190.000,No Turning-off Behavior,A
456,24.80,59.60,32.11,40.30,538.190,176.000,No Turning-off Behavior,A
427,25.50,63.70,28.85,56.50,518.080,122.000,No Turning-off Behavior,A
422,25.20,64.00,28.97,56.40,255.970,125.000,No Turning-off Behavior,A
451,24.90,62.00,29.63,53.60,452.140,135.000,No Turning-off Behavior,A
458,24.50,64.20,29.67,54.60,577.470,145.000,No Turning-off Behavior,A
464,24.60,64.20,29.98,53.00,17.240,151.000,No Turning-off Behavior,A
476,24.40,64.60,30.66,51.00,548.010,169.000,No Turning-off Behavior,A
478,24.40,63.80,31.18,47.40,167.820,163.000,No Turning-off Behavior,A
503,24.30,62.70,30.78,48.20,627.980,182.000,No Turning-off Behavior,A
509,24.40,63.90,32.15,45.10,639.900,180.000,No Turning-off Behavior,A
487,24.40,64.30,32.10,44.90,17.700,194.000,No Turning-off Behavior,A
487,24.50,64.20,31.59,45.10,588.460,190.000,No Turning-off Behavior,A
497,24.60,63.40,31.89,43.20,445.130,191.000,No Turning-off Behavior,A
472,24.60,63.10,32.94,39.90,687.840,199.000,No Turning-off Behavior,A
473,24.60,62.00,32.20,39.90,667.490,209.000,No Turning-off Behavior,A
521,24.30,61.90,32.71,40.50,17.000,212.000,No Turning-off Behavior,A
519,24.50,62.60,32.68,40.00,598.050,217.000,No Turning-off Behavior,A
477,24.70,61.70,33.13,37.60,605.300,221.000,No Turning-off Behavior,A
492,24.60,61.90,33.34,38.70,642.240,228.000,No Turning-off Behavior,A
469,24.60,62.50,32.88,39.40,589.870,235.000,No Turning-off Behavior,A
431,25.10,60.20,33.44,36.90,24.490,238.000,No Turning-off Behavior,A
488,25.60,57.50,33.20,33.80,35.010,180.000,No Turning-off Behavior,A
504,24.80,59.40,34.07,31.00,218.560,231.000,No Turning-off Behavior,A
517,24.50,59.80,34.62,28.80,567.890,289.000,No Turning-off Behavior,A
504,24.60,59.60,34.07,31.20,17.240,170.000,No Turning-off Behavior,A
543,24.20,60.70,34.14,31.00,101.180,180.000,No Turning-off Behavior,A
568,24.00,60.40,33.73,31.20,29.400,182.000,No Turning-off Behavior,A
580,24.00,58.80,33.62,31.00,18.410,154.000,No Turning-off Behavior,A
562,24.10,58.00,34.03,30.60,511.300,232.000,No Turning-off Behavior,A
529,24.20,56.90,34.06,30.20,214.110,226.000,No Turning-off Behavior,A
576,23.90,57.20,33.79,32.00,175.770,190.000,No Turning-off Behavior,A
537,24.20,57.80,33.47,33.80,22.380,158.000,No Turning-off Behavior,A
532,23.80,59.10,34.23,32.10,453.780,176.000,No Turning-off Behavior,A
483,24.60,58.00,33.14,31.00,183.480,134.000,No Turning-off Behavior,A
475,24.60,57.40,33.04,31.60,10.690,112.000,No Turning-off Behavior,A
504,24.50,58.20,32.98,33.20,74.990,116.000,No Turning-off Behavior,A
548,24.30,59.00,32.82,34.70,8.350,125.000,No Turning-off Behavior,A
540,24.10,59.50,32.78,35.90,106.560,138.000,No Turning-off Behavior,A
558,23.90,60.50,33.22,35.20,39.680,135.000,No Turning-off Behavior,A
562,23.70,61.00,32.53,36.40,5.080,98.000,No Turning-off Behavior,A
603,23.80,61.40,32.30,37.00,56.750,116.000,No Turning-off Behavior,A
570,23.80,61.00,32.27,36.10,16.300,134.000,No Turning-off Behavior,A
549,23.70,60.70,32.32,36.10,245.680,124.000,No Turning-off Behavior,A
532,23.70,60.40,31.55,38.00,11.390,85.000,No Turning-off Behavior,A
541,23.40,60.50,31.25,37.00,7.420,80.000,No Turning-off Behavior,A
545,23.40,59.80,31.22,37.40,46.930,98.000,No Turning-off Behavior,A
549,23.20,59.70,31.03,37.90,16.300,73.000,No Turning-off Behavior,A
440,24.30,61.70,26.30,64.20,249.420,129.000,No Turning-off Behavior,A
459,23.80,62.50,26.50,63.40,16.070,118.000,No Turning-off Behavior,A
486,23.50,63.30,26.95,62.60,599.690,128.000,No Turning-off Behavior,A
502,23.30,63.80,27.15,60.60,16.070,131.000,No Turning-off Behavior,A
502,23.50,63.80,27.17,58.70,646.920,129.000,No Turning-off Behavior,A
519,23.40,63.60,27.16,58.90,449.570,135.000,No Turning-off Behavior,A
500,23.50,65.10,27.37,56.50,450.740,136.000,No Turning-off Behavior,A
450,25.20,59.80,30.09,44.30,653.700,232.000,No Turning-off Behavior,A
448,25.00,60.80,30.13,43.60,18.640,239.000,No Turning-off Behavior,A
476,24.60,60.60,30.81,41.50,661.410,250.000,No Turning-off Behavior,A
439,24.80,59.40,30.55,42.90,627.510,253.000,No Turning-off Behavior,A
