CO2 [ppm],Temperature_Indoor [C],Relative_Humidity_Indoor [%],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%],Solar_Radiation [w/m2],Southward_Vertical_Irradiance [w/m2],Class,Room_ID
469,23.10,47.80,18.23,54.70,25.420,225.000,No Turning-on Behavior,A
482,23.40,47.60,18.53,52.30,656.740,245.000,No Turning-on Behavior,A
544,23.50,47.30,19.00,52.30,578.640,264.000,No Turning-on Behavior,A
498,23.60,46.80,18.90,50.00,16.770,274.000,No Turning-on Behavior,A
486,23.70,46.00,19.03,51.00,746.060,297.000,No Turning-on Behavior,A
466,23.80,45.70,19.12,50.50,17.240,309.000,No Turning-on Behavior,A
472,23.80,45.60,19.64,48.80,682.930,305.000,No Turning-on Behavior,A
459,23.80,45.60,19.47,49.30,674.740,318.000,No Turning-on Behavior,A
463,23.90,45.60,19.59,47.30,424.790,334.000,No Turning-on Behavior,A
469,24.00,45.20,20.11,47.40,685.500,335.000,No Turning-on Behavior,A
467,24.00,45.30,20.05,48.00,17.940,333.000,No Turning-on Behavior,A
480,24.10,45.20,20.33,47.70,621.900,348.000,No Turning-on Behavior,A
477,24.20,44.90,21.00,46.40,624.940,339.000,No Turning-on Behavior,A
476,24.20,45.10,20.32,46.50,18.870,313.000,No Turning-on Behavior,A
449,24.20,44.70,20.32,47.70,375.450,277.000,No Turning-on Behavior,A
433,24.20,44.80,20.65,46.30,24.490,259.000,No Turning-on Behavior,A
423,24.20,44.50,20.36,47.40,564.380,325.000,No Turning-on Behavior,A
420,24.30,44.80,20.89,44.00,729.690,379.000,No Turning-on Behavior,A
516,24.20,44.30,21.73,43.80,691.110,366.000,No Turning-on Behavior,A
487,24.40,44.30,21.67,40.10,626.810,346.000,No Turning-on Behavior,A
533,24.60,44.10,21.38,43.30,425.490,278.000,No Turning-on Behavior,A
541,24.60,44.20,21.83,42.70,54.650,313.000,No Turning-on Behavior,A
540,24.60,44.00,21.98,40.10,539.590,323.000,No Turning-on Behavior,A
507,24.70,44.00,21.96,42.00,660.710,339.000,No Turning-on Behavior,A
517,24.70,43.70,22.58,40.10,425.720,306.000,No Turning-on Behavior,A
524,24.70,43.90,22.14,42.40,348.560,267.000,No Turning-on Behavior,A
552,24.80,43.80,22.17,41.90,121.050,307.000,No Turning-on Behavior,A
568,24.90,43.80,22.44,39.00,809.190,335.000,No Turning-on Behavior,A
559,25.00,43.70,22.73,39.70,576.300,276.000,No Turning-on Behavior,A
567,25.00,43.50,23.24,37.30,730.630,279.000,No Turning-on Behavior,A
571,25.00,43.40,22.77,38.70,149.110,145.000,No Turning-on Behavior,A
597,25.10,43.30,22.17,37.70,157.530,218.000,No Turning-on Behavior,A
628,25.20,43.40,22.83,36.90,766.630,206.000,No Turning-on Behavior,A
655,25.20,43.40,22.81,37.30,469.920,160.000,No Turning-on Behavior,A
