Temperature_Indoor [C],Relative_Humidity_Indoor [%],Indoor_Illumination [LUX],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%],Solar_Radiation [w/m2],Southward_Vertical_Irradiance [w/m2],Shading_Status_last,Class,Room_ID
24.90,60.30,192,17.17,90.50,2.040,40.000,0.5,Rolling Up,C
24.80,59.70,239,17.09,88.90,2.040,57.000,0.5,Rolling Up,C
24.90,59.40,313,17.17,89.00,2.740,85.000,0.5,Rolling Up,C
24.90,57.50,134,17.20,90.50,2.040,11.000,1,Rolling Up,C
24.90,57.60,138,17.11,91.20,1.570,11.000,0,Rolling Up,C
24.90,57.60,122,17.05,90.20,1.570,8.000,0,Rolling Up,C
24.90,57.60,123,17.16,89.50,1.800,8.000,0,Rolling Up,C
24.70,57.90,130,17.02,89.00,1.800,11.000,0,Rolling Up,C
24.70,57.80,149,17.04,89.40,1.570,15.000,0,Rolling Up,C
23.40,61.10,355,16.56,94.90,1.800,73.000,0,Rolling Up,C
23.40,61.10,371,16.68,93.00,2.510,74.000,0,Rolling Up,C
23.50,60.70,326,16.98,91.20,2.270,63.000,0,Rolling Up,C
23.70,60.30,406,16.90,89.90,2.040,89.000,0,Rolling Up,C
23.90,59.90,469,17.39,88.60,2.040,99.000,0,Rolling Up,C
24.00,59.60,563,17.58,87.30,2.510,133.000,0,Rolling Up,C
24.10,58.90,701,18.01,85.60,5.080,164.000,0,Rolling Up,C
24.20,58.70,613,18.45,80.40,2.740,131.000,0,Rolling Up,C
24.10,58.70,581,18.55,76.10,2.270,130.000,0,Rolling Up,C
24.30,58.30,608,18.77,75.80,2.970,133.000,0,Rolling Up,C
24.30,58.10,748,18.81,71.50,4.840,163.000,0,Rolling Up,C
24.50,57.70,888,19.42,71.60,3.680,181.000,0,Rolling Up,C
24.50,57.40,641,19.01,73.50,3.680,153.000,0,Rolling Up,C
24.50,56.60,653,18.95,72.30,3.440,148.000,0,Rolling Up,C
24.50,56.80,675,19.14,71.20,2.970,153.000,0,Rolling Up,C
24.60,56.40,698,19.50,70.50,2.270,163.000,0,Rolling Up,C
24.60,56.00,683,19.80,68.90,2.970,159.000,0,Rolling Up,C
24.60,56.30,672,20.04,67.50,3.210,154.000,0,Rolling Up,C
24.70,55.90,643,20.12,66.60,3.680,153.000,0,Rolling Up,C
24.70,55.70,680,20.29,65.70,4.380,167.000,0,Rolling Up,C
24.60,55.80,771,20.41,66.30,3.680,182.000,0,Rolling Up,C
24.80,55.70,723,20.42,66.60,5.310,191.000,0,Rolling Up,C
24.90,55.40,802,20.32,67.50,8.120,214.000,0,Rolling Up,C
25.00,55.30,798,20.61,66.30,6.010,214.000,0,Rolling Up,C
25.10,55.10,821,20.78,66.00,6.250,221.000,0,Rolling Up,C
25.00,54.80,835,20.96,64.00,51.610,233.000,0,Rolling Up,C
25.10,54.80,959,21.50,64.20,446.070,315.000,0,Rolling Up,C
