"Country","City","Building_Type","Room_Type","Building_ID","Room_ID"
"Denmark","Odense","Educational","Classroom",1,1
"Denmark","Odense","Educational","Studyzone",1,2
"Denmark","Odense","Educational","Studyzone",1,3
